Semaine,Jour,Repas,Plat,Ingrédients,Recette,Image,Lien,No. Ref.
"1","Samedi","Déjeuner","Crêpes variées (salées et sucrées)","Recette pour ~18 crêpes :\n2 tasses de farine\n2.5 c. à soupe de sucre\nPincée de sel\n4 gros œufs\n2.5 tasses (625 ml) de lait\n3 c. à soupe de beurre fondu\nGarnitures salées : Jambon, fromage suisse râpé\nGarnitures sucrées : Fraises, framboises, sirop d'érable","Pâte : Mélanger farine, sucre, sel. À part, fouetter œufs et lait. Verser le liquide sur le sec en fouettant. Ajouter le beurre fondu. Laisser reposer 15 min.\nCuisson : Chauffer une poêle. Verser 1/4 tasse de pâte, tourner pour étaler. Cuire 1-2 min, retourner, cuire 1 min.\nGarnir les crêpes salées dans la poêle pour faire fondre le fromage. Servir les crêpes sucrées avec les fruits.","","https://www.ricardocuisine.com/recettes/4969-crepes-aux-champignons","1"
"1","Samedi","Souper","Burgers de bœuf et frites au four","Pour les frites :\n5-6 grosses pommes de terre\n3 c. à soupe d'huile d'olive\nPaprika, sel, poivre\nPour les burgers :\n750 g de bœuf haché mi-maigre\n1/3 tasse de chapelure\n1 c. à thé de poudre d'ail\nSel et poivre\nPour servir :\n5 pains à hamburger\nGarnitures au choix\n1 concombre et 3 carottes en bâtonnets","Frites : Préchauffer le four à 220°C (425°F). Couper les pommes de terre en bâtonnets, bien les sécher. Mélanger avec huile et épices. Étaler sur une plaque et cuire 30-40 min.\nBurgers : Mélanger délicatement bœuf, chapelure, ail, sel, poivre. Former 5 boulettes. Cuire à la poêle ou au BBQ.\nServir les bâtonnets de légumes en entrée, puis les burgers garnis avec les frites.","","https://www.ricardocuisine.com/recettes/7887-burger-de-b-uf-legumes-grilles-et-sauce-fromage-au-chipotle","1"
"1","Dimanche","Déjeuner","Omelette au four (frittata)","12 œufs\n1/2 tasse (125 ml) de lait\n1.5 tasse de jambon cuit, en dés\n2 tasses de fromage râpé\nSel, poivre\nOranges, rôties","Préchauffer le four à 190°C (375°F).\nDans un bol, fouetter œufs, lait, sel, poivre. Incorporer jambon et 1.5 tasse de fromage.\nVerser dans une poêle en fonte ou un moule graissé. Saupoudrer du reste de fromage.\nCuire au four 20-25 minutes.\nServir en pointes avec des tranches d'orange et des rôties.","","https://www.ricardocuisine.com/recettes/3055-omelette-au-four","1"
"1","Dimanche","Souper","Poulet mariné au citron et pâtes","5 poitrines de poulet\n500 g de pâtes de votre choix\nPour la marinade :\n1/3 tasse (80 ml) d'huile d'olive\nJus et zeste de 1 gros citron\n3 gousses d'ail, hachées\n1 c. à soupe d'origan séché\n1/4 tasse de persil frais, haché\nSel et poivre\nPour servir :\nUne grande salade verte","Mariner le poulet dans le mélange de marinade pendant au moins 30 minutes.\nCuire les pâtes.\nCuire le poulet au BBQ ou à la poêle, 6-8 minutes de chaque côté.\nLaisser reposer le poulet 5 minutes avant de le trancher.\nServir les tranches de poulet sur les pâtes, avec la salade en accompagnement.","","https://www.ricardocuisine.com/recettes/9895-poulet-marine-express-et-legumes-au-four","1"
"2","Lundi","Déjeuner","Bagels au saumon fumé","5 bagels de grains entiers\n1 paquet (227 g) de fromage à la crème\n200 g de saumon fumé\n2 pamplemousses\nOptionnel : Câpres, oignon rouge, aneth","Faire griller les bagels coupés en deux.\nTartiner de fromage à la crème, puis garnir de saumon fumé.\nAjouter les garnitures optionnelles.\nServir avec les morceaux de pamplemousse.","","","2"
"2","Lundi","Souper","Poké bowls au saumon cru","Base :\n2.5 tasses (500 g) de riz à sushi\n1/3 tasse (80 ml) de vinaigre de riz, 2.5 c. à soupe de sucre, 1 c. à thé de sel\nProtéine :\n600 g de saumon ou thon qualité sashimi, en cubes\nSauce Poké :\n1/3 tasse de sauce soja, 1.5 c. à soupe de sirop d'érable, 2 c. à thé d'huile de sésame, 1 c. à thé de gingembre râpé\nGarnitures :\n1.5 tasse d'edamames, 2 avocats, 1 concombre, 1 mangue, graines de sésame","Cuire et assaisonner le riz avec le mélange de vinaigre. Laisser tiédir.\nPréparer la sauce en fouettant ses ingrédients.\nJuste avant de servir, mélanger le poisson avec la moitié de la sauce.\nAssembler les bols : répartir le riz, garnir de poisson, edamames, avocat, concombre, mangue. Arroser du reste de la sauce.","","https://www.ricardocuisine.com/recettes/8366-bol-buddha","2"
"2","Mardi","Déjeuner","Smoothie au kale et framboises","1 tasse de yogourt grec\n1.5 tasse de lait\n2.5 tasses de framboises congelées\n2 grandes poignées de kale\n1 c. à soupe de miel (optionnel)","Placer tous les ingrédients dans un mélangeur.\nMélanger à haute vitesse jusqu'à consistance lisse.\nServir immédiatement, accompagné d'un muffin protéiné maison.","","","2"
"2","Mardi","Souper","Hauts de cuisses de poulet rôtis","8-10 hauts de cuisses de poulet\n3 c. à soupe d'huile d'olive\nMélange d'épices :\n2 c. à thé de paprika fumé, 1 c. à thé de poudre d'ail, 1 c. à thé de poudre d'oignon, 1/2 c. à thé de cumin, sel, poivre\nPour servir :\n2 tasses de couscous sec, à préparer\nUne grande salade verte","Préchauffer le four à 200°C (400°F).\nMélanger les épices. Assécher le poulet, l'enrober d'huile puis du mélange d'épices.\nDisposer sur une plaque de cuisson, peau vers le haut.\nCuire 35 à 45 minutes, jusqu'à ce que la peau soit croustillante.\nServir avec du couscous et une salade.","","https://www.ricardocuisine.com/recettes/8099-couscous-au-poulet-aux-herbes-salees-et-legumes-a-la-rotissoire","2"
"2","Mercredi","Déjeuner","Sandwich aux œufs","10 œufs, cuits durs et refroidis\n2/3 tasse de mayonnaise\n1 branche de céleri, hachée finement\n1 c. à thé de moutarde de Dijon\nSel et poivre\n10 tranches de pain\nFeuilles de laitue, tranches de fromage\nTranches de tomate (pour les adultes)","Écaler et hacher les œufs durs.\nAjouter mayonnaise, céleri, moutarde, sel et poivre. Mélanger.\nÉtaler la garniture sur 5 tranches de pain. Ajouter fromage, laitue et tomate.\nRefermer les sandwichs.","","","2"
"2","Mercredi","Souper","Tofu général Tao","2 blocs (900 g) de tofu ferme\n3/4 tasse de fécule de maïs\nHuile pour friture\nLégumes : 1 tête de brocoli, 1 poivron rouge\nSauce Général Tao :\n2/3 tasse de bouillon de légumes, 1/3 tasse de sauce soja, 1/3 tasse de sirop d'érable, 3 c. à soupe de vinaigre de riz, 3 gousses d'ail, 1.5 c. à soupe de gingembre, 1.5 c. à soupe de fécule de maïs dissoute","Presser et couper le tofu en cubes. Enrober de fécule de maïs.\nFrire les cubes de tofu jusqu'à ce qu'ils soient dorés. Égoutter sur une grille.\nDans un wok, sauter les légumes. Réserver.\nDans une casserole, mélanger les ingrédients de la sauce (sauf fécule). Porter à frémissement, puis épaissir avec la fécule dissoute.\nAjouter le tofu et les légumes dans la sauce, mélanger pour enrober. Servir avec du riz.","","","2"
"2","Jeudi","Déjeuner","Pouding de chia à la vanille","2/3 tasse de graines de chia\n2.5 tasses de lait\n3 c. à soupe de sirop d'érable\n1 c. à thé de vanille\nPour servir : 4-5 kiwis frais, en dés","La veille : Fouetter chia, lait, sirop d'érable et vanille. Laisser reposer 5 min, fouetter à nouveau. Réfrigérer toute la nuit.\nLe matin : Répartir le pouding dans des bols et garnir de kiwis.","","https://www.lekiwidefrance.fr/recettes/chia-pudding-au-lait-damande-et-kiwi/","2"
"2","Jeudi","Souper","Bol du Bouddha (crevettes, tofu, œuf)","1.5 tasse de quinoa, rincé\n3 tasses de bouillon de légumes\n400 g de grosses crevettes crues, décortiquées\n1 bloc (450 g) de tofu ferme, en cubes\n5 œufs\n3 carottes, râpées\n2 avocats, en tranches\nSauce au yogourt :\n1.5 tasse de yogourt grec, jus de 1 citron, 1 gousse d'ail, herbes fraîches, sel, poivre","Cuire le quinoa.\nPréparer 5 œufs mollets (cuisson 6-7 min).\nFaire sauter les crevettes jusqu'à ce qu'elles soient roses. Faire dorer les cubes de tofu.\nPréparer la sauce en mélangeant ses ingrédients.\nAssembler les bols : répartir le quinoa, disposer les protéines, avocat, carottes et un œuf mollet. Arroser de sauce.","","https://www.iga.net/fr/recettes_inspirantes/recettes/bol_buddha","2"
"2","Vendredi","Déjeuner","Pain doré à la cannelle","6 gros œufs\n1.5 tasse de lait\n1.5 c. à thé de cannelle\n1.5 c. à thé de vanille\n10 à 12 tranches de pain\nBeurre pour la poêle\nPour servir : Fraises fraîches, sirop d'érable","Fouetter œufs, lait, cannelle et vanille.\nFaire fondre du beurre dans une poêle.\nTremper rapidement chaque tranche de pain dans le mélange.\nCuire 2-3 minutes de chaque côté, jusqu'à ce qu'elles soient dorées.\nServir chaud, garni de fraises et de sirop d'érable.","","","2"
"2","Vendredi","Souper","Soupe tonkinoise au poulet (Phở Gà)","2.5 litres de bouillon de poulet\n3 poitrines de poulet\n1 gros oignon, 1 morceau de gingembre de 5 cm\nAromates : 2 anis étoilés, 1 bâton de cannelle, 3 clous de girofle\n400 g de nouilles de riz plates\nGarnitures : Basilic thaï, coriandre, oignons verts, fèves germées, quartiers de lime","Infuser le bouillon : Faire griller oignon et gingembre à sec dans une marmite. Ajouter bouillon et aromates. Frémir.\nCuire le poulet : Pocher les poitrines de poulet dans le bouillon 15-20 min. Retirer et effilocher.\nFinaliser : Laisser le bouillon mijoter 15 min de plus. Passer au tamis.\nCuire les nouilles.\nAssembler : Répartir nouilles et poulet dans des bols. Verser le bouillon très chaud. Servir avec les garnitures.","","","2"
"2","Samedi","Déjeuner","Yogourt, compote et muesli","Pour la famille (5 bols) :\n4 tasses de yogourt grec\n1 1/4 tasse de compote de fruits\n10 c. à soupe de muesli\n5 c. à soupe de graines de citrouille","Dans 5 bols, déposer le yogourt.\nAjouter la compote, le muesli et les graines de citrouille.\nMélanger légèrement ou déguster par couches.","","","2"
"2","Samedi","Souper","Pâtes aux boulettes de viande","750 g de bœuf haché\n3/4 tasse de chapelure\n1/3 tasse de parmesan râpé\n1 œuf, 2 gousses d'ail, persil\nSel et poivre\nPour la sauce :\n2 boîtes (796 ml) de tomates italiennes\n1 oignon, 2 gousses d'ail, huile d'olive, basilic\n500 g de spaghetti","Former les boulettes : Mélanger bœuf, chapelure, parmesan, œuf, ail, persil, sel et poivre. Former des boulettes.\nSauce : Faire revenir l'oignon et l'ail. Ajouter les tomates et le basilic.\nCuire : Déposer délicatement les boulettes crues dans la sauce frémissante. Couvrir et laisser mijoter au moins 1 heure.\nServir sur les pâtes cuites avec du parmesan.","","https://www.ricardocuisine.com/recettes/6038-spaghettis-a-la-boulette-geante","2"
"2","Dimanche","Déjeuner","Bar à céréales","Assortiment de céréales\nLait\nFruits frais au choix","Disposer les boîtes de céréales, le lait et les bols de fruits sur la table.\nLaisser chacun composer son propre bol.","","","2"
"2","Dimanche","Souper","Raclette (grillades sur four électrique)","Protéines :\n400 g de bœuf en lanières\n400 g de poulet en lanières\n300 g de grosses crevettes\nFromage :\n500 g de fromage à raclette\nAccompagnements :\n1-2 baguettes, pommes de terre grelots, grande salade, cornichons, légumes à griller","Préparer et disposer tous les ingrédients sur des plateaux.\nChaque convive fait griller ses viandes et légumes sur la plaque, et fond son fromage dans un poêlon individuel en dessous.\nVerser le fromage fondu sur les pommes de terre, le pain ou la viande.","","https://www.ricardocuisine.com/themes/BBQ","2"
"3","Lundi","Déjeuner","Rôtie à l'avocat et œuf poché","5 tranches de pain de campagne\n2-3 avocats mûrs\n5 œufs extra-frais\n1 c. à thé de vinaigre blanc\n1 barquette de tomates cerises\nSel, poivre, flocons de chili","Pocher les œufs : Dans une eau frémissante avec du vinaigre, pocher les œufs 3-4 minutes.\nPréparer la rôtie : Griller le pain. Écraser l'avocat sur les rôties chaudes.\nAssembler : Déposer un œuf poché sur chaque rôtie. Garnir avec les tomates cerises. Assaisonner.","","","3"
"3","Lundi","Souper","Fajitas au poulet","5 poitrines de poulet, en lanières\n3 poivrons de couleurs différentes, en lanières\n2 gros oignons, en lanières\nAssaisonnement : 1.5 c. à soupe de poudre de chili, 2 c. à thé de cumin, 2 c. à thé de paprika, 1 c. à thé de poudre d'ail\nHuile végétale\n12 à 15 tortillas de blé\nGarnitures : Salsa, crème sure, guacamole, fromage","Mélanger les lanières de poulet avec les assaisonnements et de l'huile.\nDans une grande poêle, faire sauter les poivrons et oignons. Réserver.\nDans la même poêle, cuire le poulet jusqu'à ce qu'il soit doré.\nRemettre les légumes.\nServir la poêle à table avec les tortillas chaudes et les garnitures.","","https://cuisinez.telequebec.tv/recettes/7165/fajitas-au-poulet","3"
"3","Mardi","Déjeuner","Gruau ou Œufs brouillés","Pour le gruau (5 portions) :\n2.5 tasses de flocons d'avoine\n5 tasses de lait\nPincée de sel\nGarnitures : Sirop d'érable, fruits frais\nPour les œufs :\n10-12 œufs, 1/3 tasse de lait, beurre, rôties","Gruau : Dans une casserole, mélanger flocons, lait et sel. Porter à ébullition, puis mijoter 5-7 minutes.\nRépartir dans des bols et laisser chacun garnir.\nEn alternative, préparer des œufs brouillés.","","","3"
"3","Mardi","Souper","Côtelettes de porc, sauce champignons","5 grandes côtelettes de porc avec os\n400 g de champignons, tranchés\n2 échalotes françaises, hachées\n3 gousses d'ail, hachées\n3/4 tasse de bouillon de poulet\n3/4 tasse de crème 35%\nThym, persil\nAccompagnements : Purée de pommes de terre (utiliser ~1.5 kg de patates), haricots jaunes","Saisir les côtelettes salées et poivrées dans une poêle. Réserver.\nDans la même poêle, dorer les champignons. Ajouter échalotes et ail.\nDéglacer avec le bouillon, laisser réduire.\nAjouter la crème et le thym, laisser épaissir.\nRemettre les côtelettes dans la sauce et laisser mijoter 5-10 minutes.\nServir avec la purée et les haricots.","","https://www.ricardocuisine.com/recettes/9766-cotelettes-de-porc-orzo-a-la-creme-et-aux-champignons","3"
"3","Mercredi","Déjeuner","Yogourt, muesli et clémentines","Pour la famille (5 bols) :\n4 tasses de yogourt nature\n1 1/4 tasse de muesli\n5 clémentines","Dans 5 bols, répartir le yogourt et le muesli.\nServir avec une clémentine par personne.","","","3"
"3","Mercredi","Souper","Sauté de bœuf au brocoli","750 g de bifteck, en fines lanières\n2 grosses têtes de brocoli, en bouquets\nSauce :\n2/3 tasse de bouillon de bœuf, 1/3 tasse de sauce soja, 3 c. à soupe de cassonade, 3 gousses d'ail, 1.5 c. à soupe de gingembre, 1.5 c. à soupe de fécule de maïs\n1.5 tasse (300g) de riz sec, à cuire","Blanchir le brocoli 1 minute dans l'eau bouillante. Égoutter.\nPréparer la sauce en fouettant ses ingrédients.\nDans un wok, saisir le bœuf. Réserver.\nVerser la sauce dans le wok, laisser épaissir. Ajouter le bœuf et le brocoli, bien enrober.\nServir sur du riz.","","","3"
"3","Jeudi","Déjeuner","Smoothie au tofu et bleuets","1 bloc (300 g) de tofu soyeux\n2.5 tasses de bleuets congelés\n1.5 tasse de lait ou boisson végétale\n1/3 tasse de beurre de noix\n1 c. à soupe de sirop d'érable (optionnel)","Égoutter le tofu. Le mettre dans le mélangeur avec le reste des ingrédients.\nMélanger à haute vitesse jusqu'à consistance lisse.\nServir accompagné d'une rôtie.","","","3"
"3","Jeudi","Souper","Croquettes de poulet (commerciales)","Prévoir une boîte familiale ou environ 25-30 croquettes de poulet\n1.5 tasse de riz sec, à cuire\nSalade verte :\n1-2 cœurs de laitue, concombre, tomates cerises, vinaigrette","Cuire les croquettes et le riz selon les instructions.\nPréparer une grande salade fraîche.\nServir les croquettes chaudes avec une portion de riz et une bonne portion de salade.","","https://www.ricardocuisine.com/recettes/59-croquettes-de-poulet-au-four","3"
"3","Vendredi","Déjeuner","Gaufres de blé entier","Recette pour ~12 gaufres :\n2 tasses de farine de blé entier, 1 tasse de farine tout usage\n3 c. à soupe de sucre, 3 c. à thé de poudre à pâte, 3/4 c. à thé de sel\n3 œufs, jaunes/blancs séparés\n3 tasses de lait\n1/2 tasse d'huile ou beurre fondu","Préchauffer le gaufrier.\nMélanger ingrédients secs. À part, fouetter jaunes, lait, huile.\nVerser liquide sur sec, mélanger.\nMonter les blancs en neige et les incorporer délicatement à la pâte.\nCuire les gaufres.\nServir avec du yogourt grec et un coulis de fruits.","","https://follefarine.com/recettes/gaufres-a-lavoine-et-yogourt-grec/","3"
"3","Vendredi","Souper","Bœuf braisé à la mijoteuse","1 rôti de palette de bœuf (1.5 - 2 kg)\n5-6 grosses carottes, en gros tronçons\n4 branches de céleri, en gros tronçons\n2 gros oignons, en quartiers\n5 gousses d'ail, écrasées\n1.5 tasse de vin rouge (optionnel)\n4 tasses de bouillon de bœuf\nFeuilles de laurier, thym","Saisir le rôti salé et poivré. Transférer dans la mijoteuse.\nDans la même poêle, faire revenir l'oignon. Déglacer au vin, ajouter bouillon et herbes.\nVerser sur le rôti. Ajouter carottes, céleri et ail.\nCuire à LOW pendant 8 à 10 heures.\nServir la viande effilochée avec les légumes et le jus.","","https://www.ricardocuisine.com/recettes/5418-mijote-a-la-canadienne-revisite-a-la-mijoteuse","3"
"3","Samedi","Déjeuner","Burritos déjeuner","10 œufs\n1/3 tasse de lait\n1 tasse de jambon cuit, en dés\n1.5 tasse de fromage cheddar, râpé\n5 grandes tortillas\nSel et poivre\n1 melon cantaloup ou miel, en tranches","Fouetter œufs, lait, sel, poivre.\nFaire cuire les œufs en les brouillant. Ajouter jambon et fromage à la fin.\nRéchauffer les tortillas. Répartir la garniture, rouler en burritos.\nServir chaud avec des tranches de melon.","","https://www.ricardocuisine.com/recettes/7160-burrito-dejeuner","3"
"3","Samedi","Souper","Poulet portugais","8 à 10 hauts de cuisses de poulet\nMarinade :\n1/3 tasse d'huile d'olive, jus de 1 citron, 4 gousses d'ail, 1.5 c. à soupe de paprika fumé, 1 c. à thé de sauce piri-piri, sel, poivre\nAccompagnements : Frites (utiliser ~1.5kg de patates), grande salade","Mélanger les ingrédients de la marinade. Enrober le poulet et mariner au moins 2 heures.\nCuire au four ou au BBQ à 200°C (400°F) pendant 35-40 minutes.\nServir avec des frites maison et une salade.","","https://www.ricardocuisine.com/recettes/7568-poulet-portugais-express","3"
"3","Dimanche","Déjeuner","Bar à céréales","Assortiment de céréales\nLait\nFruits frais au choix","Disposer les boîtes de céréales, le lait et les bols de fruits sur la table.\nLaisser chacun composer son propre bol.","","","3"
"3","Dimanche","Souper","Huîtres et saumon poêlé","Entrée :\n12 à 18 huîtres fraîches\nSauce mignonnette, quartiers de citron\nPlat principal :\n5 filets de saumon avec peau (180 g chacun)\nHuile d'olive, sel, poivre\nPurée de pommes de terre (~1.5 kg de patates)\nLégumes de saison (ex: 2 bottes d'asperges)","Entrée : Ouvrir les huîtres. Servir sur glace avec citron et sauce mignonnette.\nPlat : Préparer la purée et les légumes vapeur.\nCuire le saumon : Assécher la peau. Chauffer une poêle. Cuire le saumon côté peau 4-6 minutes jusqu'à ce qu'elle soit croustillante. Retourner et cuire 2-4 minutes de plus.\nServir immédiatement.","","https://www.ricardocuisine.com/recettes/6501-saumon-poele-et-puree-de-pommes-de-terre-aux-poireaux","3"
